"time","speaker","text","notes"
"","","","INTERVIEW NO. 29 DATE OF INTERVIEW:       16th December, 1991. MRS. SHEILA NOTTLEY, 1 MEMPHIS STREET, MT. DRUITT. NSW. 2770. "
"0.36","B","My name is Sheila Nottley, address 1 Memphis Street, Mt. Druitt.  Date of birth 12th June, l908.  Place of birth ... it would be George's Creek, but I'm not sure if that&apos;s registered in Kempsey, or ... ",""
"","A","Oh, up Kempsey way? ",""
"","B","Yes.  Status - widow.  Australian.  Number of children two. ",""
"1.27","A","Just to start off with I'll ask you a few background questions - family background, so what kind of work did your father do?  What was his occupation? ",""
"","B","Farmer. ",""
"","A","And did your mother work, or was she at home? ",""
"","B","On the property all the time.  Oh ... my mother died.  I was only three months old when my mother died. ",""
"","A","Oh, really.  So who brought you up? ",""
"","B","My Grandmother. ",""
"","A","Oh right.  And did you have any brothers or sisters? ",""
"","B","No. ",""
"","A","You were an only child? ",""
"","B","Yes. ",""
"","A","And your grandmother lived on the property? ",""
"","B","Yes.  Yes. ",""
"2.13","A","So when did you first live in this area, in the Mt. Druitt area? ",""
"","B","We came to Eastern Creek first.  About '45 I think. ",""
"","A","Just at the end of the War? ",""
"","B","Yes.  And we rented a small dairy - a small dairy - and we had the milk-run. ",""
"","A","Oh did you? ",""
"","B","Yes.  Supplied the Army Camp at Wallgrove and my son used to deliver the milk all round Mt. Druitt where we had the milk-run.  My daughter went to school at Eastern Creek.  She went to school for about three years there, then went on to High School at Penrith.  My husband was very sick. He was a diabetic and he got very sick and we had to sell out.  So we sold it and that's how we come to live at Mt. Druitt.  We moved up to Mt. Druitt then. ",""
"","A","And what year would then have been? ",""
"","B","Oh, about .. let's see ... '45 we came to Eastern Creek so it would be about &apos;48 probably. undefined",""
"","A","About '48? ",""
"","B","Either '48 or '49 it was - around that time. ",""
"3.47","A","Just about that time.  So we'll talk about what it was like in the area at Mt. Druitt when you first moved here at that time. ",""
"","B","Oh well it was a real ... what can I say... lightly populated those days.  Now for instance this road straight opposite here - Palmerston Road, the road that goes right down there - there wasn't one house there when we came here.  Because my husband had a property there - rented - and ran cattle on it for a few years. ",""
"","A","In that street? ",""
"","B","Yes.  Where all the houses are now.  Yes.   This street - well Masons might have said that I might imagine - because there was only three houses on this side of the street when my daughter built here.  Yes I think there was only two houses on this side, three houses when she built and I think only about one on the other side, when she built here. ",""
"","A","It was all bush? ",""
"","B","Oh, yes.  Absolute!  Absolute!  And then of course the railway station was moved then, up here, which we were very angry about.  It was moved to coincide with the new shopping centre, see, when they built that new shopping centre.  And I can remember back to the Post Office then, was ... let's see ... I think where the hairdresser is now.  I think the hairdresser's now in the place where the Post Office used to be, because I can remember that they were going to close down the Post Office here at Mt. Druitt.  We weren’t' going to have a Post Office here, and a friend of mine and I, we stood all day - sat up the street there - and took signatures from everybody that came along.  Put in a petition to restore the Post Office, and we ended up with a branch here. They've got a little Post Office here - a branch - but only for that we did it. ",""
"","A","You had to fight for it? ",""
"","B","Oh yes.  We had to fight for it for sure!  And then when they build the new railway station, to coincide with the shopping centre, there were no ... oh, to go up onto the station ... they put an overhead after we complained about it for a long while, so that you cross over to go across the street - because it was closed off you see, the street - then of course when the station was moved ... and we were a long while fighting for that, but they eventually built an overhead and you could cross over to the other side.  But, oh yes, there wasn't many houses around then! ",""
"6.41","A","Did you have a lot of land around your house? ",""
"","B","No.  Only just an ordinary house block.  It was a big block because we had the block next door to us where they've built ... oh, what do you call it - not a child minding centre, but ... where they take little babies for check-ups. ",""
"","A","Oh, a baby clinic? ",""
"","B","Yes.  Baby clinic - I couldn't think - a baby clinic was built there then.  But, yes there was no doctors around here then. ",""
"7.27","A","How old were your children when you first came to live in Mt. Druitt? ",""
"","B","Oh, well Clare would have been ... well, she did three years at Eastern Creek Primary before we moved up here. ",""
"","A","She would have been about nine? ",""
"","B","undefinedYes.  I guess around that.  She did three years there.  She did two years at the Penrith High.  I got sick and she had to leave to look after me for a while.  And then she got a position - she wouldn't go back, she could have gone back to high school, but she didn't - and she got a position an office for a tyre firm in Penrith.  She was there until she got married, and stayed on.   She was there a few years after she was married too.  They lived with me when they were first married, for two years, up in our old home until they built this place. Then they moved out here into it to live. ",""
"","A","You were living in the house in Palmerston Street were you? ",""
"","B","The Avenue. ",""
"","A","Oh, in the Avenue.   Did you build that house? ",""
"","B","No. No.  ",""
"","A","You bought it? ",""
"","B","Yes. ",""
"8.45","A","And what sort of house was it?  Was it weatherboard? ",""
"","B","Oh, yes.  Ordinary fibro - not fibro - it was timber.  One of the oldest houses, it would be, in Mt. Druitt.    ",""
"","A","Really? ",""
"","B","It was.  But it was quite comfortable - a very comfortable place. ",""
"","A","And is it still standing? ",""
"","B","Yes.   No.  Just recently been pulled down.  It was recently sold here a while back.   I've been told a doctor - I think from overseas somewhere bought the land, 'cause it's a big block of land - and bought it just a while back, and the vandals got in first and did a bit of damage.  The Council I think were ... it's all pulled down now and it's just the vacant block there now. ",""
"9.34","A","And so you've seen a lot of change here since you've been here? ",""
"","B","Oh terrific changes, terrific changes, yes. ",""
"","A","And how was the landscape then - it was all just bush and paddocks around your house?  You didn't have neighbours very close by? ",""
