"time","speaker","text","notes"
"","","","INTERVIEW N0.12  DATE OF INTERVIEW: 22nd October, 1991 MRS. MARIE SING 1 PANORAMA PARADE, BLACKTOWN, 2148 "
"0.30","B","My name is Marie Sing. I live at No. 1 Panorama Parade, Blacktown. I was born on 10/3/1930. I was born at Wellington, New South Wales. Nationality is Australian. I am married, four children living, one passed. Period of residence in this area is 46 years. ",""
"0.05","A","Well first of all, I’ll just ask you a bit about your family background. What sort of work did your father do? ",""
"1.49","B","My father was, in his married days, was what they call a 'borer' - you know in the old wells - the borer. He came from Moruya, down that way. And I was born in Wellington, but was only six months old when I left there. Well then we came to Wyong and there he was a mixed farmer- you know, a little bit of orchard, poultry, cattle - and from there he came to Blacktown and was a poultry farmer. ",""
"","A","So that’s how you came to live here as a child? ",""
"","B","Yes. And then he left here and went back to East Gosford as an orchardist - a small orchard - and that's where he stayed. Well I stayed in Blacktown – the children sort of stayed in Blacktown.  We were married by this time. ",""
"","A","So you were married in Blacktown? ",""
"","B","Yes. ",""
"","A","And when did you actually come to live in this house? ",""
"","B","Well we had two other homes.  We originally lived in Fifth Avenue in Blacktown. ",""
"","A","That’s near the other side of the railway? ",""
"","B","The other side of the line, yes. And from there we moved to ... in the main street of Blacktown, right opposite the store we had, and we've been here 31 years in this home here. Yes. ",""
"2.43","A","So when you first came to live in Blacktown, how old would you have been? ",""
"","B","Fifteen. ",""
"","A","So you went to school here? For a while? ",""
"","B","No. No I didn't. No, I finished school at Wyong, and my first job here was at a building called Burroughs Wellcome. It was a ... pills and things like that, you know, and I had many jobs after that. ",""
"3.17","A","So what was it like? Do you remember when you came to live here at fifteen what the countryside was like and what the area was like? ",""
"","B","Oh, I cried my eyes out! I mean, it was country where we came from, but sort of open spaces. When I came to Blacktown, my sister and I, we cried and cried and cried.  We didn't want to come here. It was very ... oh, a lot of houses close together, but not the open spaces, you know what I mean. Oh there was a bus service. We didn't live far away from the town, but there was a bus service to the railway and to where we worked, and it was just so different, you know, and I think being teenagers we felt like we were going to be hemmed in! Because there wasn't a paddock to chase rabbits in and go and swim in the creeks and things like this, you know. ",""
"4.11","A","This would have been about 1945? ",""
"","B","1945, yes. ",""
"","A","And so was it fairly built up around that area then? ",""
"","B","Only with homes sort of out where we lived. The town was very, very small. It was only - there was a pub there, there was a little old picture show, three big grocery stores (which my father-in-law owned one)  and I think three butcher shops and a little haberdashery shop and all-over store, you know, frocks and materials, and ... ",""
"4.50","A","And whereabouts was your home? Was that not close to the town itself where you lived with your parents? ",""
"","B","With my parents? Oh, it was about ten minutes in the bus, if that. ",""
"","A","And what would that area be now? ",""
