"time","speaker","text","notes"
"","","","INTERVIEW NO. 16 DATE OF INTERVIEW:  25th November, 1991. MRS. MARGARET TAYLOR 10 LONSDALE STREET ST. MARYS. 2760. "
"0.35","B","My name is Margaret Taylor.  I live at 10 Lonsdale Street, St. Marys.  I was born on 23rd February, 1932 in Bradford, Yorkshire, England, which makes me English.   ",""
"1.02","A","So what year did you come to Australia? ",""
"","B","1949. ",""
"","A","And where did you settle? ",""
"","B","At Kingswood.  O'Connell Street.  It's on the corner of the Great Western Highway and O'Connell Street - not far from the University of Western Sydney as it is now. ",""
"","A","Right.  And you lived there with your parents? ",""
"","B","Yes for 12 months. ",""
"","A","And then where did you move to? ",""
"","B","We moved to Mt. Druitt which was where the main road to Mt. Druitt shopping centre is now.  I just can't think of the name of the road.  Actually they demolished our house to build the road. ",""
"","A","Oh, did they? ",""
"","B","Yes. ",""
"","A","And was that a house your parents built? ",""
"","B","It was a house my parents built, yes. ",""
"2.01","A","What sort of work did your father do? ",""
"","B","My father was a very interesting person.  He was originally a tripe dresser which you probably don't have any people like that in Australia but in Yorkshire it was quite common.  He had tripe shops all over Yorkshire and people used to buy them as we buy fish and chips in Australia and eat them in paper just like you do in Australia with fish and chips. ",""
"","A","Really! ",""
"","B","And he had a restaurant.  And when he came to Australia he went to work for the railways as a telephone technician.  He'd studies radio and telephone and all that sort of thing in the army during the war, so he decided to start afresh when he came out here and have a new career.  So he worked for the railways until he retired at 75, which would have been in l976.   ",""
"3.20","A","And so you lived most of your childhood in Mt. Druitt did you?  I mean ... ",""
"","B","No. Well I was 18. ",""
"","A","When you arrived here? ",""
"","B","Yes.  When I arrived here.  I spent all my single years in Mt. Druitt and I went to work in St. Marys as a telephonist for the PMG as it was then. ",""
"","A","Oh, did you.  So you were in communications too.  Like father, like daughter! ",""
"","B","2 Yes.   Well I'd always been interested in - as a child - in telephones and telephonists, and I thought &quot;Oh, that would be an interesting job to do&quot;.  And I'd left school at a very early age - I left school at 14.  I'd had no high school education or anything like that.  So I applied for a position and I was given like a temporary position because I had to sit for an exam to become a permanent telephonist and they were very very strict in those days.  I managed to get through the exam and I was appointed a permanent telephonist, and I worked there for eight years until my marriage. ",""
"4.55","A","And so what year were you married?  ",""
"","B","1957. ",""
"","A","So you didn't move here until 1957? ",""
"","B","Yes, when we built this house. ",""
"5.11","A","We might talk about the Mt. Druitt area a little bit as well.  When you first moved there with your family, what was the area like? ",""
"","B","Well, it was a little bit more - particularly the area where we lived was on the southern side of the railway - so it was quite a little village there.  And everybody knew everybody and we sort of got involved in all sorts of things like amateur theatricals.  We formed a theatrical company, because there was nothing of that type of thing anywhere around this area at that particular time. ",""
"","A","Did you start that up? ",""
"","B","My father did, and myself.  When we left England we'd been involved in just about everything and - any musicals, opera, dramatic things, you know - and we sort of missed it terribly because we felt we'd come to a - it's an old saying - a cultural desert!   There was nowhere to go - there was only the picture theatre - and we wanted something better than that.  So we decided to form our own theatrical group called The Mt. Druitt Players, and we did all sorts of things like excerpts from operas and operettas and sketches.  It was like a revue type of thing.  And it was so popular with the audiences around there.  ",""
"","A","It's not still going today I suppose? ",""
"","B","No.  No, I don't think that sort of thing's as popular now as what it was then. ",""
"7.16","A","So, where you lived, did you have a lot of neighbours, or was it ...? ",""
"","B","Yes.  We were very close.  All very close, and we all got on very well.  There was quite a mixture of nationalities because at that period there was a lot of migrants ... so we had quite a lot of different nationalities all around us. ",""
"","A","Such as? ",""
"","B","Well, particularly Germans.  There seemed to be a predominance of German people at Mt. Druitt, as there is here in St. Marys.  There was a few from Yugoslavia I think and - oh, I know, there were a couple of Italians too, close by. ",""
"8.09","A","And when you say you were close to neighbours, did you mean physically close? ",""
"","B","We were physically close and, you know, we all got on very well.  I think because we had this common bond, this experience of being migrants too.  And although we were British migrants, I suppose we felt just the same as they did.   ",""
"","A","Just as alienated? ",""
"","B","3 We could speak the language which was one great thing, except that we all had terrible Yorkshire accents in those days.  (Laughs).  In fact I can remember the first few weeks I went to work at the telephone exchange, an irate man rang up one day and said &quot;Who's that bloody Pommie?&quot;  Really!  He was quite angry.  He didn't like the idea of this accent.  It was terrible. ",""
"9.10","A","When you moved to Mt. Druitt, your parents built the house there.  What sort of house was it? ",""
"","B","It was quite a big house.  My father wanted to have rehearsals at the house, so he built this huge loungeroom which was - Oh, I'd say, in feet, it was probably about 30 by 24. ",""
