"time","speaker","text","notes"
"","","","INTERVIEW NO. 17 DATE OF INTERVIEW: 20/11/91  MRS. JOY WILLIS, 74 HOBART STREET ST. MARYS.  NSW. "
"0.13","B","My name is Joy Willis.  I live at 74 Hobart Street, St. Marys.  I was born on 5th February, 1926 at St. Marys.  My marital status - I'm widowed.  Nationality - Australian, with three children. ",""
"0.42","A","First of all I'd like to ask you a few questions about your family background.  What kind of work did your father do? ",""
"","B","He was a sheet-metal worker at Reckitt and Coleman in Sydney. ",""
"","A","And your mother?  Did she work? ",""
"","B","No.  She stayed home and looked after the house, the family, did the cooking and the shopping and all that type of thing.  Women didn't work in those days, they did their household chores and looked after their families. ",""
"","A","And so when you came to this area - you were actually born in this area? ",""
"","B","Yes I was born in the house next door to here. ",""
"","A","So you've lived here all your life? ",""
"","B","Lived here all my life and I was virtually an only child because my brother and sister were ten and 12 years older than I was. ",""
"1.46","A","And so you went to school from here?  Was that far to travel? ",""
"","B","No, it was about a mile ... or more ... a little bit more.  It was all bush all the way through, you used to walk through the bush and you know there was no fear and worry or ... someone was going to grab you or ... . There were a couple of old men that lived in tents that were - not tramps - they were ... it was in the Depression.  They had nowhere to live.  And I was always warned &quot;Don't go near those tents&quot;.  But I think they were quite honorable old men!  (Laughs).   ",""
"","A","And you walked by yourself? ",""
"","B","I walked by myself. ",""
"2.31","A","And what was the land like here?  Was it a big block of land that you father's house was on? ",""
"","B","It was seven acres.  And I think they originally intended to poultry farm it, but the foxes took half the stock one night and someone else took the other half the next night!   ",""
"","A","So you didn't have many close neighbours? ",""
"","B","No.  There was one about a quarter of a mile away and another one ... oh about the same distance up the other way, and she had a car!   An old, you know ... I don't know, I suppose it was an old Ford of some sort.  And she was always telling me as a child she was going to buy an aeroplane because they were the same to drive as the car!  (Laughs) ",""
"3.20","A","She was progressive!  And did your family have a car? ",""
"","B","Oh, no!  No, we never had one. 2 ",""
"","A","How did you get about?  You lived near the railway of course. ",""
"","B","Yes, a half mile walk to the station.  We used to go in as a child - every Saturday morning I was taken into Sydney, either taken to the movies or ... something like that, you know.  An outing!  I was privileged I suppose because there were so many children from the Depression that didn't even have a pair of shoes, but I didn't realise that. ",""
"","A","So you were comfortably looked after? ",""
"","B","We were.  Yes.  My father was in constant work.  I was talking to a friend recently who was at school with me and she was telling me that her father - there were six in her family - and she said they never knew what money was.  She said 'Until War broke out and Dad joined the Army' she said 'we&apos;d never had money.  We had dole coupons&apos;.  She said &apos;There was never any money in the house'.  And I never realised this.  I used to think that I was badly done by because when I used to take my lunch to school it was wrapped in grease-proof paper and sometimes there was a girl used to bring hers in a white serviette.  And I used to think &quot;Badly done by!&quot;.  But there were some poor children that had them wrapped in newspaper!  Bare feet and they had newspaper-wrapped sandwiches! ",""
"5.03","A","Did your parents use their garden to grow vegetables? ",""
"","B","No.  They grew - my mother was more into flowers.  I think she bought all her vegetables.  I don't remember her growing them. ",""
"","A","Did she have her shopping delivered from the local shops? ",""
"","B","Yes the butcher used to call and take an order; the grocer used to come on Thursday and take an order and bring it back on Friday with his horse and dray; and the milkman used to come twice a day, first of all in a cart and then later on his son used to come with the milk can on the handles of a pushbike - half pint morning and night, you see, because there were no refrigerators. ",""
"5.57","A","You had an ice-chest did you? ",""
"","B","Had an ice-chest, yes.  We were one of the lucky ones with an ice-chest.   ",""
"","A","And I don't suppose you had any electrical appliances when you were a young child did you?  Like vacuum cleaners or anything? ",""
"","B","No.  We didn't get the electricity on until about 1939 or '40.  Oh we had the water, because my father paid to have a private line brought down the footpath onto the house.  We had an underground well and a tank up the top that you pumped the water up into the tank, and he had laid the water on into the laundry out the back and into the kitchen.  So we had laid on water. ",""
"6.41","A","You didn't have a sewer, I suppose? ",""
"","B","Oh, no!   (Laughs) ",""
"","A","Where was the toilet?  Way up the back, or .. ",""
