"time","speaker","text","notes"
"","","","INTERVIEW NO.21 DATE OF INTERVIEW: 27/11/91 MRS DIANA REYNOLDS 131 JAMIESON ROAD PENRITH  "
"0.38","B","My name is Diana Reynolds.  I live at 131 Jamieson Road, Penrith.  My date of birth is the 24th January, 1929,.  My place of birth - Penrith.  My marital status - I am a widow.  Nationality - Australian.  Number of children - one. ",""
"1.08","A","So just a few background questions to start with.  What kind of work did your father do? ",""
"","B","He was a doctor.  He was a doctor in Penrith, yes. ",""
"","A","And your mother? ",""
"","B","Mother didn't work, no. ",""
"","A","Right, and did you have brothers and sisters? ",""
"","B","I had one sister.  She's four years older. ",""
"1.29","A","And you were born in Penrith were you? ",""
"","B","Yes, down ... in a house, not a hospital, and the house still stands.  It's on the corner of High and Evans Street, Penrith. ",""
"1.45","A","Do you remember your first memories of what the area was like as a child? ",""
"","B","It seemed very ... just a town.  The highway - the Western Highway - went straight through Penrith; old dirt roads; old houses. ",""
"","A","What about the land around your house? ",""
"","B","Oh we had ... the land  - well, we were in the centre of the town - so we didn't really have much bush or open spaces immediate to Penrith, but outlying areas yes.  They were farms and bush areas, namely Cambridge Park.  That was quite a bush area for the gypsies.  And north, south, east - they were quite bushy areas. ",""
"2.46","A","And you had neighbours both sides? ",""
"","B","No, we had a street one side and a neighbour on the other side because we lived on a corner. ",""
"","A","And did you have a garden around your house? ",""
"","B","Oh, yes.  We were interested in gardening.  Of course it was your pride, I think, to keep a garden more so than perhaps it is now.  You kept your surrounds very, very clean. ",""
"","A","And did you have a vegetable garden? ",""
"","B","No we didn't have a vegetable garden.  It was mainly flowers, shrubs, trees. ",""
"3.16","A","And what sort of house did you live in? ",""
"","B","It was a double brick home, and it was a very happy home.  The surgery was attached to the house, which nowadays of course you don't have surgeries attached to the home.  The whole family seemed to be part of the practice and so we grew up in that environment really, sort of communicating with people, mainly patients and all their ails. 2 ",""
"","A","And your father was one of the only doctors in Penrith at the time wasn't he? ",""
"","B","Yes.  Dr. Higgins was the other doctor in Penrith.  Dr. Baxter was at Springwood and Dr. Day was at St. Marys, and in the very early stages they were the only four.  But after the War - '45 - more doctors started coming to the area.   ",""
"","A","Your father was Dr. Barrow? ",""
"","B","Dr. Barrow, yes. ",""
"","A","Then he must have been very busy? ",""
"","B","Oh, yes.  Very, very busy.  And then during the War he was over at the Army Camp at the speedway.  He was an all Army doctor as well and so his day was very long really.  And then later on he became Government Medical Officer of the whole area, so he was very involved with Penrith. ",""
"4.44","A","So did you go to school at the local primary school? ",""
"","B","No.  We went to school - it was called Miss Lennox School - and she first started up in St. Stephen's Hall, up at St. Stephen's Church there, and then they went down and they had a two-storey home down near the BP Garage right away down the bottom end of Penrith.  And we would walk to school and there were only about, oh I suppose about 20 children at the school.  There were two Miss Lennoxes, they taught and one - the other sister - she more or less looked after the house and did their cooking.  And then in sixth class I went to SGEGGS in Sydney.  We were sent as day pupils to SCEGGS.  We travelled to Sydney every day to Darlinghurst. ",""
"5.38","A","By train? ",""
"","B","By train. By steam train. ",""
"","A","Did you enjoy that? ",""
"","B","Yes.  It was good.  The soot in the eyes and (laughs) the dirty white blouses. But, oh, no you met a lot of good people on the train who sort of looked after you as children, because not many children really travelled to school from this area.  They may go to Parramatta, but they didn't go right in to Sydney.  But my parents chose SCEGGS and so were some other children from Emu Plains.  They also went to the same school.   ",""
"","A","So you travelled together I suppose. ",""
"","B","Well, we did.  We ...you know.  . I mean you'd have a dust-up with them and you wouldn't travel with them.  (Laughs).  But there was only one first class carriage on the Chips - we used to travel down on.  The fish went through first.  It never stopped at Penrith going to Sydney, and so we used to get on the Chips.  And I had a reserved seat on that, later on, because my occupation was Sports Mistress and then I taught in one of the Sydney schools so I had a reserved seat then, because the number of people were getting greater and greater on the trains and ... ",""
"6.58","A","And what did you do as a child for recreation? ",""
"","B","Right.  Well.  My parents were busy with the practice so we hardly ever really went out on picnics or anything like that.  It seemed to be a 'no-no'. I had good friends in the Walkers at Emu Plains, so I'd ride a bike over there and play tennis or they'd come over for the weekend or I'd go over there for the weekend.  They used to take me to Avoca for school holidays, but other than that it was tennis.  We played up at the Church courts and we went to Church - Sunday School, Church - so you were involved in that, and then you just occupied yourself at home, really.  We had the picture theatre - one picture theatre - in Penrith, and then we got 3 two picture theatres.  So you had that as an entertainment.  But, no you found your own entertainment really.  So ... ",""
"8.09","A","And so when you worked - you went to teacher's college when you left school did you? ",""
"","B","No.  I went to the A.C.P.E. - the Australian College of Physical Education - and so that was a two year course. ",""
"","A","Where was that? ",""
"","B","That was based in Hunter Street in Sydney, and then we had gym work up at the YMCA, actually it was, up in Oxford Street.  We seemed to spread around a little bit and then the hockey fields and cricket fields and that sort of thing - we went to Rushcutters Bay.  So we had quite a variety of things for our sports and then I prac taught out at the Methodist Ladies' College at Burwood and of course taught there for six years then.  And then after that my sister married, so I came home to be secretary to my father.  And in those days you seemed to, you know, support your family and live at home.  It was not living away from home, sort of - those things weren't thought of - and so I came home and just worked at home.  I did teach swimming in the river because Penrith didn't have a swimming pool.  Used to ride the bike down there and teach swimming in the river.  Then I taught in winter.  I taught tennis up on the courts at St. Stephens, so I had that as well. ",""
"9.33","A","It's a nice healthy lifestyle! ",""
"","B","Oh, yes.  Good and healthy.  (Laughs).  But I was in a tennis group that played every Saturday, so that took you to various other tennis courts, you know, Luddenham, Castlereagh, all around you see when you visited those and they'd visit you.  But those tennis courts were behind the ... well it was Fletcher's store, and then it was Red-S, and now they've put in a three-storey car-park behind there - so those tennis courts were there. ",""
"10.14","A","Yes.  I was going to ask you next about the shops and what they were like when you were a child? ",""
"","B","Yes.  Well they were quaint shops some of them, you know.  One of the shops down where we were - down near the school, right down the bottom end of Penrith - she had lollies, a lolly shop.  So that was interesting to go in to this old little lolly shop and buy things.  At the garages they had the pumps right on the street, you know, you'd have the pumps.  This was mainly in High Street and oh, a couple of hotels.  There were about three hotels down in High Street, and just Fletcher's was the general shop for clothing and wool and menswear, then they went into china and of course from there they spread out and they did buy more and spread themselves and went upstairs, you know, it was fun to go into the shop and you had to go upstairs in Fletchers.  Then they changed to Farmers and of course down to Grace Brothers and moved into the big area at the Plaza. ",""
"11.32","A","Did your mother do her shopping locally? ",""
"","B","Oh, yes.  She did do shopping mainly where we were, up the top end of Penrith.  We did it at Neale's.  They had it all.  They had groceries, it was like hardware, farm barrows, all that type of thing, then the menswear and the ladies-wear.  And then they moved into furniture, Neale's.  And of course you'd sent your order over and when the order came back you'd always get a little bag of boiled lollies in your order, so of course as children we thought that was wonderful.  But you used to front up to the counter and give your whatever, and then they'd bring it to you.  It was sort of ... you just didn't have to go and shop for yourself like it is in the super market today.  No, you got your orders that way and they'd count out the biscuits (laughs) and scoop out the sugar and the flour.  So that was good.  And of course the milkman was the same.  He'd come around with his haps on the back and you'd leave your billy out and the milk would be left.  And the bread, of course - the nice fresh smell of bread - and he'd come around with his cart.  I can remember as a get, you know, you'd have the fellow calling out 'Props, props'.  These were props for the clothes lines.  And we used to have one faint old chap who came in with beautiful vegetables and he had a horse and sulky - Biddy was the 4 horse - and Mr. Baxter was quite a current caller to the place.  With the practice a lot of people worked a bit on a barter system.  Dad used to treat the Barber and he used to cut his hair for nothing.  And one Christmas we had seven chooks.  They were on foot!  Not on foot!  (Laughs) They were presents from patients and then, of course, if you went to someone with an orchard, well a few days later you'd wake up and a box of oranges, grapefruit or the lemons, peaches, nectarines - all these things used to come in.  Well when my father and mother made up the accounts 'Oh, you can't charge them, they&apos;ve already give us a box of fruit'.  So this is how it was.  But it was only five shillings for a consultation, and seven and six to go and visit someone.  So things - you know, you'd go right out to Warragamba Dam perhaps for ten shillings. ",""
"","A","So doctors didn't really get rich in those days? ",""
"","B","You didn't get rich in those days.  One person stood beside my father in the bank - you know how you usually stand back, you don't sort of stand up as if your looking - and he said 'Oh I&apos;m not going to pay his bill.  He's got enough in his account!'  (Laughs)  But, no, that was one way of paying you back you see, and so that was interesting.  And Mum always welcomed the new babies with a blue bow or a pink bow round their wrists, you know.  And they always liked the new babies coming into the practice, you know, it was just a feature of the practice.  But later on of course you got the foreign people who came out, the New Australians, and we found those a little bit unusual to start off with.  My sister was home at this stage and one woman came down the surgery hall and she said 'Quick, quick, the newspaper, the newspaper!&quot;  So my sister gave it to her.  So she just spread it out on the dining room floor and squatted down and had a miscarriage.  And of course my father came in later and said 'Where's that paper, I haven&apos;t read the paper&apos; ... and he said &apos;I&apos;ve hadn’t&apos; read it yet!&apos;   And the doormat - we had another one on the doormat.  Things like that.  They were just a little bit unusual from our ways, you know. ",""
"16.00","A","Did you father mostly deliver babies in the hospital or at home? ",""
"","B","Oh, yes.  No, a lot in the home.  He had one case where the lady came in and the neighbour came in to help and she fainted, so with one foot he kicked her under the bed (laughs) and that was that one.  But, no there was a private hospital diagonally opposite where they lived down in High Street and she was the Maternity and of course she'd just whistle, you know, 'Quick over the road' so that one was quite easy.  And then they got the Maternity up at the hospital which was the Nepean Hospital which is now the Governor Phillip.  That was quite a thing for Penrith when that came.  Everything, like it is now, when it's new, you know, &quot;The University!  Oh isn’t' this good, the University'.  Each new thing seemed to be progress I suppose all the time. ",""
"16.58","A","So in the late '40s, I suppose you were married about that time were you? ",""
"","B","No.  I wasn't married.  I married only about 28 years ago really, and my husband was in the Airforce.  It was his second marriage.  His wife had passed away, and I came here when the girls ... the twins were 14.  So, no I didn't marry until about 35. ",""
"","A","1935? No when you were 35? ",""
"","B","No, when I was 35. ",""
"17.34","A","So you moved to live in this house when you were married, so that would have been in the early '60s? ",""
"","B","Yes.  Yes, about l964. ",""
"","A","And did you build this house? ",""
"","B","No my husband bought it when he moved up from Albury.  He came up here with his wife and family and then in l8 months she passed away with cancer, and of course he was left with the twins.  And then I met him later on and of course we got married, and we had one son. 5 ",""
"","A","And so the twins were a fair bit older than your son? ",""
"","B","Oh, yes.  Yes, they'd been 16 when he was born.  They're married now and live elsewhere. ",""
"18.26","A","So, your husband actually built this house when he came up did he?  Or was it already here? ",""
