"time","speaker","text","notes"
"","","","INTERVIEW NO. 11 DATE OF INTERVIEW: 18/10/91 MRS. RITA CAMILLERI 17 TARGO ROAD PENDLE HILL. "
"0.39","B","My name is Rita Camilleri. My address 17 Targo Road, Pendle Hill. Place of birth, Malta Marital status. I'm a widow. Nationality, Maltese. Number of children, four daughters. ",""
"1.09","A","Now I'll just ask you first of all, how long have you lived in this area here? ",""
"","B","Since 1939 when we first came from Malta. My father rented a house on Pendle Way Then he bought a house with four acres of land down in Girraween, Mulgoa Road, and then we lived there. I lived there until I got married and then I came to this house here. Then my father, after a while, he sold the land he built a house here close to me because I was the only child in the family They were close to us here, and I have lived in this house ever since. I've always been here, brought up the family. We had a market garden which my husband bought. He was a cane cutter in Queensland. Then he came down here. He bought the three acres of land and he started to work in the garden. Then the War started and he had the contract with the Military to supply vegetables to the Military. So he wasn't called for services. And we always worked in the garden. We always worked together here. Then he passed away. I had a good life. It was very, very hard work. Real hard work. But if I had to do it, I'd do it again! I'd do it again! ",""
"3.08","A","So when did you actually get married? What year was that? ",""
"","B","I got married in 1943 ",""
"","A","And you came to live in this house? ",""
"","B","I came to live in this house. Three years after we arrived in Australia I was married. ",""
"","A","And was he also Maltese? ",""
"","B","Yes. He was a Maltese. He was in Australian twelve years, always in Queensland cutting cane He came in the big Depression, and my father - when we came - my father was here twelve years as well before he could bring us up here. Because he came in the big Depression. ",""
"","A","He had to save the money? ",""
"","B","So, it was hard to save any money and keep us in Malta as well, you know. ",""
"3.59","A","So when you came to this house, the house was already built was it? ",""
"","B","It was just the bricks outside, and he fixed up a bathroom, he fixed up a bedroom, lined it and bought an electric stove so he can cook. And then we got engaged well he fixed it all up. ",""
"","A","This is your father? ",""
"","B","My husband ",""
"","A","Oh, he lived here and cooked .. . ? ",""
"","B","Yes. And the other house, which my father had, he make it in a market garden and I went there and worked in my father's market garden, and yet in Malta, you know, I was in College! ",""
"","A","You were? ",""
"","B","Yes. I came from College. When I came here I had no friends. ",""
"5.02","A","So how old would you have been then? ",""
"","B","I was 15. It was a very lonely life. No friends. ",""
"","A","Did you have any neighbours here? ",""
"","B","We had neighbours, but they were all men. They were all men. Because then the War started and there was nobody coming to Australia any more during the War, so I was just here, very lonely, no girls my age. All the boys were after me. I couldn't go out the door! It was really ... I was very lonely at that time. Then I put myself working in the garden, my father's garden. He had men working there, because my father was like an agent at the Markets and we employed a couple of men, and I worked with them in the garden. ",""
"6.08","A","And what was the countryside like? What was your impression of it when you first came here? ",""
"","B","When we first came I was scared. Because we came… in Malta, you know everything is so close together, building joined to each other sort of, and you know, no locking of the house and you go to bed, you don't lock your doors, horses all around the house and birds on the iron, you know it was very scary, very scary. ",""
"","A","So that sense of space around you was frightening? ",""
"","B","Yes. It was a bit frightening. But, at the same time I loved it. I loved the way it was. I loved that room around the house, the garden around the house. I loved it very much. ",""
"7.00","A","Did that make you feel a sense of freedom? ",""
"","B","Till I got used to this different situation and environment, you know, but then I loved it. But it was lonely, very lonely. ",""
"7.18","A","So when you first got married and lived here in this house, was this the only house in the street at that time, because it looks a lot older than the surrounding houses? ",""
"","B","This house was probably the first house that was built in this area. People lived in sheds. ",""
"","A","Really! ",""
"","B","Yes. And I think this was the ... maybe the one next door was built, the one next door here, but there may be the second one here. Otherwise they were all gardens and they all lived in sheds. ",""
"7.55","A","The whole area was market gardens was it? ",""
"","B","All here was market gardens. ",""
"","A","And what sort of people were they, Australian or Maltese? ",""
"","B","They were all Maltese. All Maltese. ",""
"8.06","A","So all the Maltese people tended to settle in one area? ",""
"","B","Well Pendle Hill was full with Maltese. They called it Little Malta here, and there's still a lot, but since it's been built up, you know, it's a mixture of people. But before, you can say all the roads were Maltese, because they bought the land from the Australians and they opened the land Some of them were market gardens, some of them they built sheds and they had chickens, poultry farms. But that was really what Pendle Hill was all about. ",""
"8.46","A","And did you work in the garden when you were first married too and helped outdoors? ",""
"","B","Yes. We worked together in the garden. Hard work, long hours And very hot I suppose? And long hours. I sometimes used to work, in summer, I'd get up at three o'clock in the morning and don't go to bed till twelve o'clock at night. ",""
"","A","Really, and working all that time? ",""
"","B","Yes. Working all that time, looking after the family ",""
"","A","You had four daughters? ",""
"","B","Four daughters. And look after the house, and oh, it was a full time job anyway. But when you are young nothing is too much for you. ",""
"9.27","A","So what would your daily routine have been like? ",""
"","B","In summer you wake up very early in the morning and cut the lettuce sometimes early in the morning, and then I take the clock with me so I come up here, wake up the children, get them ready for school give them a good breakfast, cook a good breakfast- whatever they wanted, because they never used to eat their lunch, so I made sure they had a good breakfast. Then I send the children to school, make up the beds, quickly, quickly, go down again and then when, say we got a lot of work done, I come up and make breakfast for my husband again. And then, we start with the tying up, bunching and all the sort of things that makes you go in the garden and it takes you again till lunch. Then you come up, have some lunch, go back to work again. And then maybe, about three o'clock, I come and prepare dinner and then I just cook it and we'll be going till about ten o'clock at night. Come up, have dinner - that&apos;s eight o'clock, nine o'clock - and my husband then started the watering, wait then for the carrier to come to load up, and that was our day. ",""
"11.03","A","And your vegetables went into Sydney Markets? ",""
"","B","Sydney Markets, yes. ",""
"","A","It was a long hard day wasn't it? ",""
"","B","Yes. Sometimes he used to take vegetables as well to Katoomba Markets. He used to have big orders there. And we only had three acres of land. ",""
"","A","I was just going to ask you how much land you had then. ",""
"","B","Only three acres of land, but the stuff that came out of this place I We used to belong then to Katoomba, something like that - everybody used to pass by because they couldn't believe that it was only out of three. But we had two crops in one bed growing all the time. We worked hard. He was a very hard working man. ",""
"","A","That's like companion planting isn't it? ",""
"","B","You have lettuce that are half grown then you may put carrots in or you put beetroot in so they grow up. You cut the lettuce and you’ve got the beetroot almost ready just for turning. So that's how we'd work, say, eight acres of land, and then we rented another piece next door. We used to put cabbages and things like that in it. And just the two of us - I'd say we worked about ten acres of land. And we had no machinery, remember! ",""
"12.29","A","You worked the equivalent of ten acres, but really only three and a bit? ",""
"","B","Yes. And we had no machinery, except the rotary hoe. That's all. Because we had no tractors or anything like that. Everything was done by hand. But it was done. We always had … sometimes we had it bad, sometimes we had it good, it depends on the weather. Many times we had a hail storm and it took everything and we sowed back again and another one comes. But we always had food on the table and always had enough money to pay our bills And maybe we put a little bit behind us for a rainy day for winter. ",""
"13.15","A","Who handled the accounts? Did you or your husband? ",""
"","B","I did. He'd just worked, and we worked together sort of, but I managed everything. Yes. ",""
