"time","speaker","text","notes"
"","","","in  'bold italic'  script]  "
"0.28","B","My name is Brenda Niccol.  My address is River Road, Emu Plains.  The date of my birth is 20/4/1920.  The place of my birth was Ballarat, though I didn't live there, it was the home of my grandmother.  I am a widow now and I suppose I'm - dare I say it these days? - fourth or fifth generation.  I have four children - four boys. ",""
"1.25","A","OK, so first to ask you a little bit about your family background, what did your father do, and your mother?  What sort of work did your father do? ",""
"","B","My father was an Anzac and he took up one of the soldier-settlement blocks in the Riverina.  My mother had been in Germany at the outbreak of War.  She was an Australian and had gone over to England.  She was very artistic - a painter, a writer and a producer of plays and even a writer of plays.  I grew up - did I say I grew up in the Riverina?   But they were Victorians. ",""
"2.26","A","When did you move to Penrith area - to Emu Plains? ",""
"","B","I'd come to Sydney with my sister.  Actually we stayed in the Girls' Friendly Hostel which is still there opposite the University of Sydney.   Then my mother died in '37, suddenly.  She was coming up to stay with us from the Riverina and she had a haemorrhage - a stroke.  I faced up to it but I was young, only about 17. I think it hit me the following year and my father decided to send me down here to the guest house.  It was a guest house in these days. ",""
"3.33","A","This house? Yes, this house was a guest house.  It had a lot of other buildings around on the property.  It ",""
"","B","was a very, very beautiful place.  Emu Plains itself was a place of orange groves and peach trees and apricot trees, grape vines and dairy farms.  It was something of intense loveliness really, with the hills behind and the lower Mountains behind - and the river.  Across the other side was just grazing lands and again, farms.  It was just such a beautiful area.  And I came back again for another holiday and then I decided one summer - we'd been camping, my sister and I and a young group, at Cattai Creek which was a beautiful place then without sewerage-",""
"","A","pollution through it as they are using it as a sewerage drain now - and I decided I wanted another holiday here and didn't have the necessary money so I thought, like a lot of young ",""
"","B","people do today, that I'd come and work in the January holidays.  But of course working as a waitress ... ",""
"","A","For the guest house? ",""
"","B","Yes, for the three or four weeks, it was nothing like being a guest and you saw then what a hard job it was.  You saw behind the scenes, what a very hard life it was.  I was only young then, but I think that I ... well, my husband, of course, was one of the family here and we ",""
"","A","became interested in each other.   I remember for my 21st birthday he gave me the book ",""
"","B","'Gone With the Wind' and &apos;Northwest Passage&apos;, and at the time I preferred Northwest Passage for some reason or other.  I think because the adventurous men that went north - their ",""
"","A","struggles in overcoming difficulties and the battles with the Indians and so forth - I preferred ",""
"","B","to Gone With the Wind! ",""
"6.27","A","So this is where you met your husband? ",""
"","B","Yes, this is where we met ... like lots and lots of others.  Many people come back today because they had their honeymoon here and call in and see me.  A couple came back the other day.  They'd been here as children in 1928, but that was just before the family had taken over 2 ",""
"","A","this place.  Actually the woman before us ... it had already been made into a guest house by the previous owner or lessee.  But there were a lot of division of rooms upstairs and extra ",""
"","B","rooms added on, so today it's not as the guest house was.  After my husband died in the early '60's my sons and I started to peel back and demolish the bits and pieces that were added on. ",""
"7.22","A","So when did you come to live here permanently?  After you were married I suppose? ",""
"","B","Well, I was too young to be married when he went off to the war in 1940 with his brother.  There were three brothers and one was killed in an accident.  He was a school teacher and he'd just gone down to Yanko in the February.  He was engaged to be married and he was riding in to ring up his fiancé when he was killed.  The mother begged the two others not to join up for a while.  It had to come because we could ... well for years we could see the ",""
"","A","threatening of not only Hitler, but the fellow on the white horse.  The Japanese leader on the ",""
"","B","Cinesound News and Hitler had marched into Austria.  There'd been the assassination of ",""
"","A","Adolphus in Austria a few years before.  That had a very big effect on me I remember.  ",""
"","B","People think that we didn't have those fears at those times, but I think all we young ones were ",""
"","A","in great fear of the expected war.  We at the time didn't realise - how close the Great War was ",""
"","B","just behind us. Anything that's before you're born or before your memory may as well be a thousand years before, so I can understand that a lot of people only go back to the 1950's now as if the world started in 1950.   ",""
"9.25","A","So you ... ",""
"","B","Well I know it was very hard for my mother-in-law-to-be.  The two sons went off and they were over in Syria and Tobruk for the nine months and they didn't come back 'til &apos;43, and they were to go on up to fight the Japanese, and I decided 'Blow it!', you know, &apos;you probably won't get the chance' ... you know, you feel that the odds are against you - which sounds a bit morbid - but we decided to get married then like a lot of the returning men who married.  We'd said 'Oh, no war brides!&apos; because the stories we&apos;d heard of the tragedies of some of the marriages of the First World War, just marrying in haste, but we married in '43.  I didn't come to live here until '45 after my first son was born.  My husband was still away at the war then, going up into Borneo, and he felt that he must fight on while ever there was a prisoner of war there because we'd heard so many of the dreadful tales, and I think it had an effect on those people ...  it's still in your hearts today.  It's something you can&apos;t throw off, even though you&apos;re not one of the prisoners of war, it's just a heartache that remains with you.  But anyway he felt that he had to go on with the others until they were released.  Well, he didn't come back then until my son was ten months old, I think, before he saw him - like a lot of others.  There were ",""
"","A","a lot of babies born then after the 9th Division returned ...  oh, well they'd been back a couple ",""
"","B","of years by '45.  Life here was a bit hectic. ",""
"11.51","A","Did you run the guest house? ",""
"","B","My father and mother-in-law were running it all during the War and they were very busy because there was a 30-mile limit on cars, or about 30-miles, and this place was just within the limits for the petrol, and people could travel here.  People who went overseas normally, would come here.  Because staff was very hard to get - you weren't allowed to employ women ... or men - well, women anyway - under 45.  I suppose it was the same for men, The ",""
"","A","Department of Labour and Industry told you where you could work and eventually people ",""
"","B","were called up for service. ",""
"","A","Able-bodied people had to help the war effort? ",""
