"time","speaker","text","notes"
"","","","INTERVIEW NO. 35 DATE OF INTERVIEW:  10/3/92 MRS. JOYCE McKELVEY, 30 Panorama Parade, BLACKTOWN.  2148. "
"0.35","B","My name is Joyce McKelvey.  I live at Blacktown.  I was born on the 16th of the eighth, 1918.  My nationality is Australian.  I am married.  I have two children ",""
"1.01","A","So first of all I'll just ask you some background questions.  How long have you lived in the Blacktown area? ",""
"","B","Seventy-three years. ",""
"","A","So you were born here? ",""
"","B","Yes. ",""
"1.10","A","And what sort of work did your father do?  ",""
"","B","He was the bread-maker - what do you call it?   Bakery - we had a bakery. ",""
"","A","Oh did you? ",""
"","B","Yes. ",""
"","A","In Blacktown? ",""
"","B","Yes. ",""
"1.27","A","And did you have any brothers and sisters? ",""
"","B","Yes.  One sister and three brothers. ",""
"","A","That was quite a big family! ",""
"","B","Oh, five. ",""
"","A","One of five - and where were you?  Were you the eldest? ",""
"","B","No, I was the eldest girl.  I was the fourth. ",""
"","A","The eldest girl, so you would have had a few more responsibilities would you helping with the house work and that sort of thing? ",""
"","B","That's right.  You always had to do your share! ",""
"1.57","A","And what sort of house did you live in? ",""
"","B","We lived in the main street of Blacktown - half weatherboard and fibro home.   ",""
"","A","Was it a big block of land? ",""
"","B","No.  The average size. ",""
"","A","A half-acre block?   ",""
"","B","The average block there then.  Yes. ",""
"2.19","A","And did you have a garden? ",""
"","B","2 Yes.  We always had our own vegetables, until my parents started the bakery then.  They built a bakery in the back of the residence. ",""
"2.35","A","And did your mother work there as well? ",""
"","B","Yes.  We all had a helping hand at that!  Something for all!   My three brothers delivered the bread and my father with the help of them before they went delivering they did it between them. ",""
"2.53","A","And so did you have grandparents or any other relatives living around you? ",""
"","B","Yes.  My mother's parents lived a short distance from us.   ",""
"","A","So they would have given your mother some support with ...? ",""
"","B","No.  Not really. ",""
"","A","So how did your mother manage to keep up with the housework and the shopping and the family? ",""
"","B","We did the shopping.  You know, we were right in the town.  But Mum did the housework, to begin with anyway.  Later on she had some help. ",""
"3.35","A","And did your father grow vegetables in the garden? ",""
