"time","speaker","text","notes"
"","","","INTERVIEW NO.24 DATE OF INTERVIEW: 11/12/91 MRS IRIS HANNA &quot;The Oaks&quot; 54 Hyatt Road PLUMPTON "
"0.39","B","I am Iris Elizabeth Hanna. I live at 'The Oaks ', 54 Hyatt Road, Plumpton. I was born on the 30th November, 1914 at Lismore. I am married. I'm Australian of Irish parents and I have seven children. ",""
"1.14","A","Well first of all I’ll just start by asking you a few background questions. What kind of work did your father do? ",""
"","B","He was a dairy farmer at Lismore on the north coast or just out of Lismore. ",""
"","A","And your mother - did she work? ",""
"","B","Only helping with the dairy farming, as I did too. ",""
"","A","Did you. And did you have brothers and sisters? ",""
"","B","Yes, one sister and one brother. ",""
"","A","Right, so there were the three of you. ",""
"","B","Yes. ",""
"1.52","A","Right. And then when did you move to live in this area? ",""
"","B","Not until I was married? ",""
"","A","And what year would that have been? ",""
"","B","1944. ",""
"","A","And so you came to live here as a young married lady - with any children, or… ",""
"","B","No. ",""
"","A","When you were first married? ",""
"","B","Yes. ",""
"","A","And did you move into this house? ",""
"","B","Yes. ",""
"","A","And it was already built was it? ",""
"","B","Oh, yes. It's about a hundred years old now. No, just bricks as far as I know. ",""
"2.32","A","And so in 1945 when you came to live here what was it like? What was the surrounding area like? ",""
"","B","Well one house on about 200 acres. ",""
"","A","That was your house? ",""
"","B","Yes. (Laughs) ",""
"","A","Wow! ",""
"","B","Oh, there were neighbours on the other side of the road, and school about a couple of miles away. ",""
"","A","Only one other neighbour, was there? ",""
"","B","Oh, no - one ... two ... three neighbours on the other side of the road, but no-one close like we are now. ",""
"3.18","A","And so did your husband run a farm? ",""
"","B","No he was a poultry farmer. ",""
"","A","Oh, was he. ",""
"","B","Yes. This was a poultry farming area, but that went out in the early 1950's I'd say - by the middle 1950's at any rate - it was all out. ",""
"3.40","A","And why was that? Why did they go? ",""
"","B","Well, I can only speak for ourselves I suppose. But we were working hard and all the money we got for the eggs went out in produce expenses and to the Egg Board for levy charges and so on. We had nothing left for ourselves. ",""
"","A","And so you were more or less forced to sell the land? ",""
"","B","Yes. And it was the same with all the other neighbours too. ",""
"","A","Were they all poultry farmers around here? ",""
"","B","Yes. Oh, the odd one went to work or perhaps some of the younger people did, but it was a poultry farming area. ",""
"4.27","A","So when you first moved here you'd come from a country town so you were used to being fairly isolated? ",""
"","B","Yes. Not as isolated as this was though! (Laughs) ",""
"","A","You felt particularly isolated here did you? ",""
"","B","Yes. But I wasn't frightened or, you know, lonely or anything. But to be so close to Sydney it did seem funny you know, to be so far away from your nearest neighbours and so on. ",""
"5.03","B","And did you have to travel far to the shop? Well, there was no shops at Mt. Druitt or Emerton. There were a few shops of a sort at Blacktown, so Parramatta was our shopping centre really. ",""
"5.24","A","And how did you get around from here? Was there any public transport or anything? ",""
"","B","There was a taxi cab. It picked you up - it was really cheap when you think on it now! It was two shillings - took you to Rooty Hill railway station. You caught a train from there. But at that stage we did have a car - my husband had a car - so we had no problems really. ",""
"","A","You’d need the car wouldn’t you. There were no bus services? ",""
"","B","No buses, apart ... oh, no that came later. I was going to say there was a bus on Rooty Hill Road North out there, but that came much later. There was no buses for many years. ",""
"6.15","A","And what was the - this house has got quite a few rooms by the look of it - how many bedrooms are there? ",""
"","B","There's three upstairs and one downstairs. ",""
"","A","What was the house before you came to live here? Was it a guest house or just a residence? ",""
"","B","No. My husband's father bought it in about 1920 - he came to live in about 1920, I think. But he had owned it for a few years before that, but he had to sell the place he already was on and 'cause the First World War was just ended, you know, he had to wait a while. But they had it - were living in it – from about 1920. ",""
"7.12","A","And it’s one of the - by the look of it - it’s one of the only original homes in the area now? All these modern houses are all around. ",""
"","B","Yes. ",""
"","A","What happened to the other houses in the area? They were demolished were they? ",""
"","B","Yes. Just bulldozed over, sort of thing. There is an old house just on the top of the hill there, on the left, back behind some of the new ones, where Douglas Mawson lived. You know the Antarctic explorer? I don't know that it's the original house he lived in, but I understand it is, and it's still standing there behind some others. ",""
"8.01","A","So you are lucky that this is still standing, I guess? (Laughs) Yes. And it wasn't bulldozed! ",""
"","B","Well at first they talked about doing that. It was the Housing Commission in those days and they said they weren't sentimental about old houses and things, but then the Heritage Council stepped in and picked a few out that they said had to be saved. ",""
"","A","So this is under the Heritage Council now? ",""
"","B","Yes. ",""
"8.34","A","And how much land around here is yours now? ",""
"","B","About three-quarters of an acre I'd say. ",""
"","A","It still looks very big. I notice you’ve got a turkey running around out there! ",""
"","B","That's a Guinea-fowl! (Laughs) ",""
"","A","Oh, I’m from the city obviously! ",""
"","B","He's a stray that adopted us about Christmas Day six or seven years ago and I did ring different people that I thought perhaps might have bought him for Christmas dinner. But nobody owned him so he just stays here and we feed him. ",""
"","A","He's very attractive isn't he? ",""
"","B","Well he's unusual. ",""
"9.16","A","Yes. So when you first moved here when you were first married, what sort of electrical appliances did you have then? Did you have stoves and... ",""
"","B","Yes, we had a stove and the jug and the kettle and, you know... ",""
"","A","Did you? And a fridge? ",""
"","B","Yes. It was one of the old Holstrom fridges, so it was on the way out then really, although most of the Holstrom fridges have endured the years very well, but that one didn't seem to. ",""
"","A","And did you have vacuum cleaners? ",""
"","B","No, not then. ",""
"10.05","A","And what about the bathroom? Was that inside? Was the toilet inside the house? ",""
"","B","No. The toilet was away round there at Timbuctoo! (Laughs). And the bathroom was separate from the house too. ",""
"","A","You had to go outside did you? ",""
"","B","Yes. And it's only since we had the sewerage on - I'd say about four years ago - that we&apos;ve had an inside bathroom and a toilet. ",""
"","A","So you only got the sewerage four years ago? ",""
"","B","Yes. That was when ... well it might be perhaps four and a half or something. ",""
