"time","speaker","text","notes"
"","","","INTERVIEW NO.22 DATE OF INTERVIEW: 5/12/91 MRS AMY JACKSON 20 DEWDNEY ROAD EMU PLAINS. "
"0.35","B","My name's Amy Jackson.  I live at 20 Dewdney Road, Emu Plains.  I was born on the 18th July, 1916, born in Penrith.  I'm a widow.  I'm Australian and I have three children. ",""
"11.02","A","How long have you lived in the Penrith area? ",""
"","B","Well I was born in Penrith and I've always lived ... I did work down Sydney way for a while before I was married, but I've, you know, in my married life I've always lived around the Penrith area. ",""
"","A","So you were born in the Penrith area.  Whereabouts did you live then?  Where was the house you were born in? The corner of Mulgoa Road and High Street. So that's quite in the centre of town now? ",""
"","B","Yes.   Oh, yes, yes.  And the house is demolished now. ",""
"","A","Oh, right. ",""
"","B","Then when I was - well I was born in l916 - in l9l9 my parents moved to Emu Plains to the old place down there. That's where we lived then.  My parents lived there then and ... ",""
"","A","Down near the river? ",""
"","B","Yes.  Yes.  On the west ... the one they called the old police station. ",""
"","A","And was it an old police station? ",""
"","B","Oh, yes it was.  Yes.  The police lived there before they built the other police station next door. ",""
"2.09","A","So lived most of your childhood in Emu Plains then? ",""
"","B","Yes, I did. ",""
"","A","And you went to the local school? ",""
"","B","Yes.  At Emu Plains and Penrith - the convent.  I went to Emu Public School for a while and then into the convent in Penrith. ",""
"2.24","A","And how did you get into school?  Did you walk? ",""
"","B","If we got our jobs done in time and managed to catch the train we caught that, but if we were running late we'd have to walk.  Sometimes we'd get right down to the station and the train&apos;d just go out and then we'd turn round and walk all the way up to Penrith, when we were going to Penrith School.  Because at Emu School though, we always walked, always had to walk. ",""
"","A","That was a long walk then to Penrith! ",""
"","B","Yes.  It was quite a good walk from the old place down to the Emu school too because it was just over a mile.  Of course we started there when we were six. undefined",""
"3.06","A","How many children were there in your family? ",""
"","B","Five. ",""
"","A","Were you the eldest? ",""
"","B","No.  Second eldest. ",""
"","A","And so you always had someone to walk with when you were walking to school? ",""
"","B","Yes.  Because my brother was going before me? ",""
"3.21","A","And how did you - did you travel by bus at all in the area then? ",""
"","B","What during the school time? ",""
"","A","Yes. ",""
"","B","No.  No, there were no buses then. ",""
"","A","No buses.  So how did you get around if you didn't walk? ",""
