"time","speaker","text","notes"
"","","","INTERVIEW NO.27  DATE OF INTERVIEW: 13th December, 1991. MRS JOYCE MOON 23 BROXBOURNE STREET WESTMEAD. "
"0.22","B","My name is Joyce Moon. I live at 23 Broxbourne Street, Westmead. Date of birth 15th March, 1921. Place of birth - now you’re asking me? I’ll come back to that I think. Married. Nationality Australian. Number of children two. ",""
"1.12","A","Good. And you were born in Sydney were you? ",""
"","B","No. Beelbangera. ",""
"","A","Oh where’s that? ",""
"","B","Oh it's up Leeton way. ",""
"1.21","A","Oh, right. So you are a country girl! ",""
"","B","Yes. ",""
"1.28","A","OK. So just a few background questions. What sort of work did your father do? ",""
"","B","My father ... Dad was an engineer. He was an engineer before he came out to Australia and then he worked on Burrinjuck Dam and then he bought a poultry farm at Schofields. ",""
"","A","Right. And he came out from England did he? ",""
"","B","Yes. ",""
"1.59","A","And so how long did you live in the Blacktown area? ",""
"","B","Well we lived at Schofields when ... I was about two when I went to Schofields, and then I was married from Schofields. And then we moved to Riverstone and we lived there for four years and then we moved to Blacktown. ",""
"","A","So you've lived in that area for a long time. And when you moved here to Westmead, when was that? ",""
"","B","Well Helen was four then and she's 36 now, so we've been down here about 32 years. ",""
"","A","About 32 years ago. So that would have been in the '60s. ",""
"2.43","A","Right. OK.  So when you first lived in Schofields you were two years old. What was the house like that you lived in there with your parents? ",""
"","B","Oh, well it was only an old place when we first went then and then Dad built a big weatherboard place. It had four bedrooms and a lounge room, dining room and a kitchen and a bathroom and back verandah - round the back - and one across the front. ",""
"","A","So it was a nice big house. ",""
"","B","Yes, it was. ",""
"","A","And it was weatherboard wasn’t it? ",""
"","B","Yes. ",""
"3.20","A","And did you have an inside bathroom and toilet? ",""
"","B","Well we had the inside bathroom, but not a toilet. ",""
"","A","Down the back? ",""
"","B","(Laughs) ",""
"3.32","A","And did you have a lot of land around the house? ",""
"","B","Yes. There was quite a bit. Not as much as what a lot of them had, but it was enough for poultry farm and we had an orchard. ",""
"","A","Did you? What sort of fruit? ",""
"","B","Oranges. ",""
"3.50","A","So I suppose your mother made jam did she? ",""
"","B","Oh, yes. Mum was a good old cook. She made all the orange jams and fruit cakes and stuff and we had plenty to eat because there was always the cow – our own cow - and we had our own chooks. ",""
"","A","Did you? You had your own cow too! ",""
"","B","Yes. ",""
"","A","And how about other things like vegetables and... ? ",""
"","B","Yes. Dad grew vegetables. ",""
"","A","He grew vegetables too? ",""
"","B","Yes. ",""
"4.17","A","So you wouldn’t have had to shop for very much? ",""
"","B","No. And when the Depression was on well we were very lucky for that reason that - we could pick our own fruit and grow our own vegetables and having our own chooks. So we were lucky - and our own cow and that. So we were lucky. A lot better off than a lot of other people around us! ",""
"4.39","A","And what about shopping? Did your mother go to the local shops for anything else she needed? Not that she’d need much! ",""
