"time","speaker","text","notes"
"","","","INTERVIEW NO. 31 DATE OF INTERVIEW: 26th February, 1992. MRS. THELMA MASTERS 43 Lalor Road, QUAKERS HILL.  2763. "
"0.18","B","My name is Thelma Masters and I live at 43 Lalor Road, Quakers Hill.  I was born on the 28th of the sixth l927.  My nationality is Australian and I'm married.  I have two children, three grandchildren - all boys. ",""
"0.46","A","First of all I'll just ask you a few background questions.  What sort of work did your father do? ",""
"","B","He was a labourer. ",""
"","A","In this area? ",""
"","B","Yes.  He used to work at Riverstone Meat Works.  That was when I was married he was working at Riverstone Meat Works. ",""
"","A","And what about your mother?  Did she work? ",""
"","B","My mother died when I was eight. ",""
"","A","Oh did she?  So who brought you up? ",""
"","B","Well my father and I had three brothers and we had a good grandmother! ",""
"","A","Oh.  That was lucky.  And she lived with you? ",""
"","B","No.  No, I went and lived with Grandma for a lot of my life and she practically brought me up - at Parklea. ",""
"","A","Oh, Parklea.  And you had three brothers, no sisters, so ... ",""
"","B","No sisters, and I was the second eldest.  When I was old enough to leave school I looked after the three boys and looked after the house and then I got a job and I worked at Bonds for quite a few years. ",""
"","A","Was that at Five Dock? ",""
"","B","No, Pendle Hill.  And from Bonds I got married and then I left work and I haven't worked since!  (Laughs)  Only at home! ",""
"2.17","A","And so when you were married, you moved here did you into this house? ",""
"","B","Yes. ",""
"2.23","A","Right.  So when you were a child, what school did you go to? ",""
"","B","Parklea. ",""
"","A","Parklea Primary was it? ",""
"","B","Yes.  Primary school. ",""
"","A","And did you walk to school? ",""
"","B","2 Yes.  We used to walk about five miles to school, and then after Mum died - before Mum died - Dad bought a block of ground not far from the school and they built a little old house on it and it wasn't far.  I was eight when Mum died. ",""
"2.56","A","And did you find it difficult? ",""
"","B","Yes.  Yes, when Mum died Dad packed us all up and we went to live at Grandma's - and him too.  And, like Dad being ... I've got an aunty nine months younger than me and there was quite a bit of friction at one stage, you know, amongst the children.  Then we back home to the other place. ",""
"","A","How old were you then? ",""
"","B","Oh I suppose I'd be about 10. ",""
