"time","speaker","text","notes"
"","","","INTERVIEW NO. 32 DATE OF INTERVIEW: 28/2/92 MRS. EDNA VIDLER 2 Bruce Street BLACKTOWN 2148. "
"0.33","B","My name is Edna Vidler. I 1ive at number 2 Bruce Street, Blacktown. I was born on the 31stof the twelfth, 1908. My nationality is Australian. I am widowed. I have four children. ",""
"","A","0. 55 First of all I’ll just ask you some background questions about your family. Were you one of one of several children? ",""
"","B","Yes. Ten. ",""
"","A","One of ten? ",""
"","B","Yes. ",""
"","A","Where did you come? Were you in the middle or...? ",""
"","B","I was second eldest. Yes, the eldest girl really. ",""
"1.12","A","And what sort of work did your father do? ",""
"","B","My father was a painter. ",""
"","A","A house painter? ",""
"","B","Yes. ",""
"","A","And your mother - did she work? ",""
"","B","No. She was too busy having children, I think really, those days! ",""
"","A","Yes, exactly. ",""
"","B","Yes. She used to work round the house. She was a marvellous gardener and all that kind of thing. No, she never went to work as such. ",""
"1.34","A","Right. And were you born here in Blacktown? ",""
"","B","No. I was born in Sydney. I may have been born in Simmons Street, Newtown, I think I was born. Some of us were born down there and the rest of the family were born up here. ",""
"","A","And so how old were you when the family moved to Blacktown? ",""
"","B","I was about 12. ",""
"1.56","A","Oh, right. And where did you live? ",""
"","B","Well my Grandmother used to rent a house up on the corner of Bungarribee - there's a garage there now! - Bungarribee and Flushcombe. Because, years ago, Flushcombe and Bungarribee only went to there to type of thing. This new section which goes down this way wasn't built. And we had a big... there was a big verandah right round, you know, the triple around here? We had one of those like that. And my Grandmother lived there and then they bought a property over Bungarribee Road, which is over that direction, and then my mother moved up - and we all moved up there. ",""
"","A","So you all lived in the house that had been your Grandmother's? ",""
"","B","Yes. ",""
"2.48","A","And so your earliest memories - when you first moved up here what was it like? What was the area like then? ",""
"","B","Oh, well, dust roads! You can imagine! No, all dust roads. They used to put...in fact my brother-in-law used to work on the Council, and they used to put that shale! ",""
"","A","Oh yes. ",""
