"time","speaker","text","notes"
"","","","in  &quot;bold italic&quot;  script.] "
"0.21","B","My name is Eugenie Stapleton.  My address is 10 Brock Avenue, St. Marys.   Date of birth, 21st January 1911.  Place of birth, Lambton, Newcastle.  Nationality Australian.  Marital status, married.  Number of children, two. ",""
"0.51","A","So your period of residence in the area has been since 1946, you said.  And did you come here with your family? ",""
"","B","Yes.  Len was in the Army and he came out of the Army - he got home in December, 1945.  He couldn't come as soon as the War ended because he had dermatitis and tropical ulcers and that sort of thing - he was in Bougainville.  He arrived on the 20th December 1945, and in the March he was appointed Engineer of St. Marys Council but we couldn't get a house for about six months.  We eventually got a house in October and bought it and I brought the two children here. ",""
"2.00","A","So, that wasn't this house? ",""
"","B","No. ",""
"","A","Where was the house that you built?  Did you build it? ",""
"","B","No, we bought it.  It was a new house and the owner wanted to sell it to get more money to build Housing Commission houses because there was a demand for Housing Commission houses after the War, so he sold it to us. ",""
"","A","And where abouts was that house? ",""
"","B","That was in Phillip Street, which is just one back from the railway. ",""
"","A","Oh, yes.  ",""
"","B","Just up from the Queen Street corner.   It's been demolished since and a garage was built there - a Shell garage. ",""
"","A","And you lived there until when? ",""
"","B","1962. ",""
"","A","Oh, right.  So that's during the period of the change here.  It would have been mostly in that house that you were living. ",""
"","B","Yes. ",""
"2.52","A","What was the area like when you first came to live here? ",""
"","B","Oh, very countrified.  There were about half a dozen shops in Queen Street, a number of houses and vacant blocks and no electric trains and Queen Street used to cross the railway there by a level crossing which was closed when the trains were electrified and Glossop Street was opened across the railway line. ",""
"3.25","A","And were there houses close together?  Did you have next door neighbours and was it a large block of land that you lived on? ",""
"","B","Yes, just a normal building block.  But it was deep and went a long way back. ",""
"","A","Did you have a garden around your house? ",""
"","B","Yes. ",""
"","A","Did you grow vegetables? ",""
"","B","Not much, no. ",""
"3.52","A","So what would your daily routine have been like when you lived there - I suppose your children were small when you first came? ",""
"","B","Yes.  John was six and Janet was 15 months when we came here.  John began school and I used to have to take him down across the highway because the school wasn't big enough and the ... second class, I think he was in, were in the Presbyterian Church on the other side of the highway.  So I used to take him down in the morning, put him across the highway and the teacher - she was an elderly lady, quite nice - used to put the children across the highway in the afternoon and he'd walk home from there. ",""
"","A","Did your daughter go to the same school? ",""
"","B","Yes. ",""
"4.47","A","And did you have a car? ",""
"","B","Yes. ",""
"","A","Did you?  So that made it easier to get around? ",""
"","B","Oh, no, because the car was for Len.  He was Engineer of the Council and he had to have a car.  He had one when we came here, but he got the first new Chevrolet from Lance Motors.  They were the big car dealers.  They moved up into Glossop Street later and had a very big business up there called - bought out recently by a man called Young - they were Lance and Frasers down in Queen Street and they got the first Chevs after the War, and Len got one, as Engineer of the Council, and Dr. Day got the other!  (Laughs). ",""
"5.46","A","And so you still had to - how did you get around? ",""
"","B","Oh, I could drive.  I'd had a licence for many years.  I got a licence when I was teaching at West Wyalong. ",""
"","A","You were a school teacher were you? ",""
"","B","Yes.  High school teacher. ",""
"","A","What subjects did you teach? ",""
"","B","French and German.  I didn't teach German everywhere but I taught it at and Parramatta High and West Wyalong.   And English, of course, I had to teach. ",""
"","A","So you had the use of the car when you needed it, 'cause public transport wasn't very good in those days was it - the bus services? No.  There was a bus.  The bus driver lives up the top of this street now, on the other side - the ",""
"","B","bus owner - he's 83 now!  ",""
"6.43","A","Really.  And so, you were saying what your daily routine was - you'd take the children to school, and ... ",""
"","B","Oh I'd take John to school.  Janet didn't go to school &apos;til she was nearly six.  There wasn&apos;t any room for her in the school 'til she was nearly six.   I only took John to school for a couple of months of the first year that we came here, because the next year he went up a class and that was down at the school and he could walk to school. ",""
"","A","And I suppose there wasn't much traffic on the roads then? ",""
"","B","No, nothing like now, of course.  But the roads weren't the same.  Queen Street wasn't tarred ... ",""
"","A","Wasn't it? ",""
"","B","No - a dirt road!  And I had to heat up the copper to wash the clothes, and heat up the copper when we had a bath, and all that sort of thing. ",""
"7.56","A","You had a chip-heater or something, did you? ",""
"","B","No!  I used to boil the copper to get the water at first? ",""
"","A","For a bath? ",""
"","B","At first. ",""
"8.03","A","And did you have to collect the fire wood too? ",""
"","B","Yes. ",""
"","A","What, from around about - or did you buy it from a produce store? ",""
"","B","Oh, no.  We used to get enough.  It didn't take much.  Well, for the copper ... I don't know what we did.  I forget now what we did for that.  We got a chip bath-heater later and used to ... tore up cardboard and bits of wood and that. ",""
"8.36","A","A good way of using up bits and pieces.  And did you do all your own cooking and housework and that sort of thing? ",""
"","B","Yes.  Until I - some years later I got ill - I wasn't ...  I got Lupus actually, and that wasn't diagnosed until 1956.  It's a genetic disease and that was diagnosed by Dr. Sir Thomas Greenaway in 1956.   I didn't know what was wrong with me, but I used to get things wrong - muscular problems and joints.     And Len got help for me once a week, a woman to do the washing and ironing. ",""
"9.37","A","And, talking about that sort of thing, did you have good medical services nearby? ",""
"","B","One doctor in St. Marys.    ",""
"","A","Only one! ",""
"","B","And his daughter.  His daughter had just graduated and she went and practiced with him.  So I had Dr. Day to begin with, and then when he died, Prue carried on the practice and I had Dr. Prue Day. ",""
"10.10","A","And so what did you do about any medical emergencies?  You had to call on Dr. Day?  There was no hospital nearby? ",""
"","B","No-one else!  No.  Penrith was the closest.  I had one emergency.  I'd been asked to afternoon tea by the bank manager's wife, Mrs. Minns, and I took Janet with me.  She was only 18 months old at the time, and John came after school and I was having afternoon tea and he said &quot;Oh, Mum, Janet's funny!&quot;   And I went quickly and had a look at her and she was choking.  There was a screw-top jar there with stuff in and ...  so I pushed my finger down and made her vomit, about three times, and they rang Dr. Day and Prue came.   She said &quot;Oh, she'll have to go up to hospital - it's something that she's drunk from that jar!&quot;   And Mrs. Minn said &quot;Oh, that's Roger's spirits of salts!&quot;   He&apos;d left it on the table nearby, and Janet always had her orange drink in a screw-top jar when we went out.  She got confused and must have thought it was orange juice.  So, we rang Len and he came and took her up to Penrith Hospital and they said that there was no sign of burning in her throat, but that there were a lot of pieces of galvanised iron in the jar and she could possibly have swallowed a piece.  So they X-rayed her, but she hadn't!   And they said that the pieces of galvanised iron had killed the effect of the spirits of salts! ",""
"","A","Oh wasn't that lucky!  How old was she then? ",""
"","B","Eighteen months!  I hadn't been here long and I didn't know anybody, and I was quite pleased to be asked to afternoon tea, and that's what happened!  But it was all right! ",""
"12.32","A","Did you find it hard to get to know people when you first came here? ",""
"","B","Well, there weren't many to get to know!  I joined the Mothers' Club when Janet started school, but not 'til then.  I got to know people there and I was appointed President of the Mothers' Club, and ... ",""
"","A","Did you feel isolated? ",""
"","B","No, I've never felt that! ",""
"","A","I guess the community was a fairly friendly one, because it was very small? ",""
"","B","Yes.  There were very few people! ",""
"13.19","A","And what made you decide to come to Penrith to live? ",""
"","B","To St. Marys? ",""
"","A","Oh, to St. Marys! ",""
"","B","Len got the job of Engineer of St. Marys Council.  ",""
"","A","Oh, that's why you actually came here! ",""
"","B","He had been Engineer of Oberon Council, before the War, and John was about 15 months old when we went to Oberon, and it was a very bitter winter climate. ",""
"","A","That's near Orange isn't it? ",""
"","B","Out of Orange, yes.  And ... oh ... no house to live in.  I had to share a house with another family, the owner of it, and then they took in another family - it was hectic - who came up there to get away from the bombing of the Japs in Sydney.   And I didn't really like Oberon - living there - and then I got the house to myself.  They got tired of living there and they decided the bombs weren't going to worry them, they went back to Sydney, and I had the house to myself.  It was a very new house, but they hadn't put in any power points because electricity in Oberon's so dear.  So I used to have to use flat-irons to iron, boil up the copper to wash the clothes.  The teatowels used to be frozen when I'd hang them on the line in winter.  It was very bitter! ",""
"15.50","A","So you probably enjoyed moving to St. Marys then?   ",""
"","B","Yes. ",""
"","A","So did you have electricity in your house there, in St. Marys? ",""
"","B","Yes. ",""
"","A","And did you have sewerage? ",""
"","B","No, we didn't have sewerage when we built this in 1962!   ",""
"","A","Didn't you? ",""
"","B","We had to wait another year or two. ",""
